,강수량,기온,변화량기압,습도,이슬점온도,풍속,해면기압,현지기압,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향,풍향
,44292,44292,44292,44292,44292,44292,44292,44292,"(44292, 0.0)","(44292, 10.0)","(44292, 30.0)","(44292, 60.0)","(44292, 70.0)","(44292, 80.0)","(44292, 100.0)","(44292, 116.7)","(44292, 120.0)","(44292, 183.3)","(44292, 190.0)","(44292, 230.0)","(44292, 233.3)","(44292, 240.0)","(44292, 250.0)","(44292, 260.0)","(44292, 266.7)","(44292, 280.0)","(44292, 300.0)","(44292, 320.0)","(44292, 330.0)","(44292, 340.0)","(44292, 350.0)"
일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-05 00:00:00,0.0,16.5,2.0,46.2,4.9,3.0,1004.5,861.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-05 03:00:00,0.0,15.4,0.0,62.1,8.2,0.0,1005.1,861.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-05 06:00:00,0.0,13.8,0.1,66.2,7.6,6.0,1005.9,861.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024-06-05 09:00:00,0.0,9.1,1.5,84.9,6.7,5.0,1010.4,862.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024-06-05 12:00:00,2.0,8.7,2.5,82.0,5.8,4.0,1013.6,865.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-06-05 15:00:00,0.0,8.3,2.1,76.9,4.5,2.0,1016.3,867.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-06-05 18:00:00,0.0,7.6,0.4,73.1,3.1,2.0,1017.2,867.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-05 21:00:00,0.0,6.0,0.1,79.9,2.8,1.0,1018.2,867.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-06 00:00:00,0.0,9.0,0.8,70.9,4.0,2.0,1017.4,868.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-06-06 03:00:00,0.0,14.3,0.8,53.9,5.1,3.0,1013.5,867.8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-06-06 06:00:00,0.0,18.5,1.8,36.1,3.2,4.0,1009.2,866.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-06-06 09:00:00,0.0,13.5,0.0,55.2,4.7,4.0,1011.9,866.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-06 12:00:00,1.0,10.8,0.2,61.9,3.8,0.0,1013.6,866.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-06 15:00:00,0.0,8.7,0.9,73.8,4.3,2.0,1015.8,867.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-06-06 18:00:00,0.0,5.9,0.8,88.8,4.2,0.0,1016.5,866.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-06 21:00:00,0.0,5.0,0.7,95.9,4.4,1.0,1016.2,865.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-06-07 00:00:00,0.0,8.8,0.1,76.0,4.8,2.0,1013.9,865.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-06-07 03:00:00,0.0,14.2,0.8,49.2,3.7,2.0,1010.0,864.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-06-07 06:00:00,0.0,20.7,1.6,33.1,3.9,5.0,1004.6,863.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2024-06-07 09:00:00,0.0,20.3,0.1,33.0,3.5,5.0,1004.7,863.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-06-07 12:00:00,0.0,18.3,0.8,40.1,4.5,3.0,1006.7,863.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-06-07 15:00:00,0.0,14.9,0.9,54.1,5.7,2.0,1009.6,864.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-06-07 18:00:00,0.0,11.0,0.8,66.9,5.1,1.0,1012.7,865.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-07 21:00:00,0.0,9.1,0.8,70.9,4.1,2.0,1014.7,866.3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 00:00:00,0.0,13.8,0.4,51.9,4.1,2.0,1012.5,866.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 03:00:00,0.0,21.1,0.8,32.0,3.8,1.0,1007.7,865.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024-06-08 06:00:00,0.0,24.6,1.5,25.0,3.3,4.0,1004.1,864.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 09:00:00,0.0,25.8,1.4,20.1,1.2,3.0,1001.9,863.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-06-08 12:00:00,0.0,23.1,0.3,29.0,4.1,2.0,1002.9,862.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 15:00:00,0.0,17.1,0.9,46.0,5.4,2.0,1007.1,863.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 18:00:00,0.0,13.8,0.3,54.9,4.9,3.0,1008.5,863.3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-08 21:00:00,0.0,11.6,0.4,62.1,4.6,3.0,1009.3,862.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-09 00:00:00,0.0,16.5,0.7,47.1,5.2,3.0,1005.8,862.2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-09 03:00:00,0.0,19.7,0.8,38.8,4.4,4.7,1002.7,861.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-09 06:00:00,0.0,22.9,0.9,30.4,3.6,6.3,999.6,859.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2024-06-09 09:00:00,0.0,26.1,1.0,22.1,2.8,8.0,996.5,858.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-06-09 12:00:00,0.0,23.1,0.9,28.4,3.1,5.3,998.7,859.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024-06-09 15:00:00,0.0,20.0,0.8,34.8,3.4,2.7,1000.8,859.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-09 18:00:00,0.0,17.0,0.7,41.1,3.7,0.0,1003.0,860.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-09 21:00:00,0.0,13.8,0.6,56.1,5.2,2.0,1005.4,860.6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-10 00:00:00,0.0,16.3,0.2,48.1,5.3,1.0,1004.3,860.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-10 03:00:00,0.0,23.4,0.4,32.0,5.8,3.0,1000.1,860.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-06-10 06:00:00,0.0,24.4,0.4,31.0,6.2,6.0,999.1,860.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-06-10 09:00:00,0.0,23.7,0.0,35.1,7.4,5.0,999.5,860.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-06-10 12:00:00,0.0,20.1,1.7,50.1,9.4,4.0,1003.3,861.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-06-10 15:00:00,0.0,17.2,0.8,58.1,8.9,3.0,1005.8,862.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-06-10 18:00:00,0.0,14.9,0.0,65.9,8.6,1.0,1007.0,862.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-10 21:00:00,0.0,13.6,0.7,74.2,9.1,2.0,1008.5,863.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
